secFrom	langTo	prob	isTranslation
References	脚注	0.9981556534767151	False
References	出典	0.9974204301834106	False
References	参考文献	0.9973432421684265	True
References	参照	0.9947574138641357	True
References	関連項目	0.9940899014472961	False
References	参考	0.992016077041626	True
References	参考資料	0.9908079504966736	False
References	外部リンク	0.9907540082931519	False
References	註	0.9907211065292358	False
References	出典・脚注	0.9900416731834412	False
External links	参考文献	0.9985896944999695	False
External links	外部リンク	0.9982666969299316	True
External links	脚注	0.9974485039710999	False
External links	出典	0.9958251714706421	False
External links	脚注・出典	0.9953522682189941	False
External links	参考資料	0.9924919009208679	False
External links	引用	0.9919415712356567	False
External links	注釈	0.9919078350067139	False
External links	参照	0.9903629422187805	False
External links	出典・脚注	0.9903068542480469	False
See also	関連項目	0.9863081574440002	True
See also	参照	0.9769725799560547	False
See also	参考	0.9543667435646057	False
See also	参照項目	0.953839898109436	False
See also	関連	0.9500044584274292	False
See also	関連事項	0.9477433562278748	False
See also	交通	0.8879926204681396	False
See also	脚注	0.8799146413803101	False
See also	その他	0.8690627217292786	False
See also	関連記事	0.865893542766571	False
History	歴史	0.9932597279548645	True
History	概要	0.9913330674171448	False
History	沿革	0.9889422655105591	True
History	来歴	0.983887255191803	False
History	地理	0.9806338548660278	False
History	経緯	0.9609581232070923	False
History	略歴	0.9551016092300415	False
History	経歴	0.9546645879745483	False
History	艦歴	0.902029275894165	False
History	概略	0.9017057418823242	False
Notes	脚注	0.9972405433654785	False
Notes	参考文献	0.9970628619194031	False
Notes	出典	0.9968622922897339	False
Notes	参照	0.9897602200508118	False
Notes	注	0.988105297088623	False
Notes	脚注・出典	0.9846917986869812	False
Notes	関連項目	0.9818504452705383	False
Notes	注釈	0.9792750477790833	True
Notes	脚註	0.9790760278701782	False
Notes	外部リンク	0.9766783118247986	False
Career	経歴	0.9968666434288025	True
Career	キャリア	0.9957863688468933	True
Career	所属クラブ	0.9956924319267273	False
Career	略歴	0.9955151677131653	False
Career	来歴	0.9913325905799866	True
Career	生涯	0.9909452199935913	False
Career	主な戦績	0.9906405210494995	False
Career	主な出演作品	0.990365743637085	False
Career	戦績	0.9883840084075928	False
Career	人物	0.9867337942123413	False
Further reading	脚注	0.9978331923484802	False
Further reading	参考文献	0.9976147413253784	True
Further reading	出典	0.9965290427207947	False
Further reading	関連文献	0.9961776733398438	False
Further reading	注釈	0.9912688732147217	False
Further reading	脚注・出典	0.9905766248703003	False
Further reading	参照	0.9875856637954712	False
Further reading	関連図書	0.9857043027877808	True
Further reading	参考	0.9850471019744873	False
Further reading	文献	0.9832069873809814	False
Biography	生涯	0.9970382452011108	False
Biography	略歴	0.996381402015686	False
Biography	経歴	0.99587482213974	False
Biography	来歴	0.9953061938285828	False
Biography	来歴・人物	0.9935146570205688	False
Biography	概要	0.9915681481361389	False
Biography	人物	0.9899771213531494	False
Biography	生い立ち	0.9859992861747742	False
Biography	人物・来歴	0.9834327697753906	False
Biography	プロフィール	0.9812296628952026	True
Track listing	収録曲	0.9916218519210815	True
Track listing	解説	0.9904767274856567	False
Track listing	概要	0.9870685338973999	False
Track listing	背景	0.9776572585105896	False
Track listing	トラックリスト	0.9721859097480774	False
Track listing	トラック・リスト	0.9465833306312561	False
Track listing	クレジット	0.9431951642036438	False
Track listing	収録内容	0.9425067901611328	False
Track listing	シングル	0.9386684894561768	False
Track listing	パーソナル	0.9358013868331909	False
Personal life	私生活	0.9986971020698547	False
Personal life	家族	0.9972039461135864	False
Personal life	人物	0.9918709993362427	False
Personal life	プライベート	0.9848600029945374	False
Personal life	個人	0.9843575954437256	False
Personal life	略歴	0.9792330861091614	False
Personal life	その他	0.9762241244316101	False
Personal life	プロフィール	0.958370566368103	False
Personal life	エピソード	0.9526498913764954	False
Personal life	生涯	0.9501297473907471	True
Early life	生い立ち	0.9989253878593445	True
Early life	来歴	0.9981585144996643	False
Early life	略歴	0.9961744546890259	False
Early life	概要	0.9933371543884277	False
Early life	プロフィール	0.9927070736885071	False
Early life	経歴	0.9921586513519287	False
Early life	人物	0.9908971190452576	False
Early life	生涯	0.9908815622329712	False
Early life	初期の経歴	0.9893206357955933	True
Early life	前半生	0.9832267165184021	False
Cast	キャスト	0.9978283047676086	True
Cast	概要	0.9939001798629761	False
Cast	ストーリー	0.9904549717903137	False
Cast	出演者	0.9896013140678406	False
Cast	登場人物	0.9867957830429077	True
Cast	映画	0.9821470379829407	False
Cast	解説	0.9793993234634399	False
Cast	内容	0.9777674078941345	False
Cast	出演	0.9749932885169983	False
Cast	あらすじ	0.9703521728515625	False
Bibliography	参考文献	0.9979839324951172	True
Bibliography	脚注	0.9934666752815247	False
Bibliography	書籍	0.9885912537574768	False
Bibliography	文献	0.9827685952186584	False
Bibliography	参考資料	0.9790040850639343	False
Bibliography	出典	0.974943995475769	False
Bibliography	著書	0.9596396088600159	False
Bibliography	作品リスト	0.9452557563781738	False
Bibliography	出典・脚注	0.943873405456543	False
Bibliography	参照	0.9370535016059875	False
Geography	地理	0.99806147813797	True
Geography	概要	0.9958304762840271	False
Geography	地形	0.9727082848548889	False
Geography	歴史	0.9594249129295349	False
Geography	地勢	0.9201905727386475	False
Geography	地理・気候	0.8547719717025757	False
Geography	行政	0.8370824456214905	False
Geography	隣接州	0.8294934034347534	False
Geography	流路	0.8171745538711548	False
Geography	概説	0.7970152497291565	False
Sources	出典	0.9978253841400146	False
Sources	参考文献	0.9977680444717407	False
Sources	脚注	0.9974308609962463	False
Sources	文献	0.9923833012580872	False
Sources	参照	0.9923442006111145	False
Sources	参考資料	0.9916279315948486	False
Sources	外部リンク	0.9870796799659729	False
Sources	子女	0.9857928156852722	False
Sources	脚注・出典	0.9851090908050537	False
Sources	註	0.9849216341972351	False
Plot	ストーリー	0.9960430860519409	False
Plot	あらすじ	0.9941476583480835	True
Plot	概要	0.9912653565406799	False
Plot	解説	0.9789074063301086	False
Plot	キャスト	0.9663226008415222	False
Plot	プロット	0.9572950601577759	False
Plot	登場人物	0.9549856185913086	False
Plot	物語	0.9454097151756287	False
Plot	内容	0.944879412651062	False
Plot	キャラクター	0.939272403717041	False
Background	背景	0.9986047148704529	True
Background	概要	0.9976818561553955	False
Background	経歴	0.9921668767929077	False
Background	解説	0.991158664226532	False
Background	経緯	0.9890273809432983	False
Background	来歴	0.9888562560081482	False
Background	略歴	0.9868767261505127	False
Background	歴史	0.9864377975463867	False
Background	生涯	0.9814019799232483	False
Background	概説	0.969468355178833	False
Reception	評価	0.9797206521034241	False
Reception	受賞歴	0.9646575450897217	False
Reception	受賞	0.9639074802398682	False
Reception	評判	0.960199236869812	False
Reception	批評	0.9579460620880127	False
Reception	反響・評価	0.9484518766403198	False
Reception	キャスト	0.9432073831558228	False
Reception	受賞とノミネート	0.9338162541389465	False
Reception	反響	0.9192358255386353	False
Reception	スタッフ	0.8949378728866577	False
Description	概要	0.9946704506874084	False
Description	説明	0.9937006235122681	False
Description	特徴	0.9934020638465881	False
Description	解説	0.9922224879264832	True
Description	詳細	0.9897069931030273	False
Description	形態	0.9885077476501465	False
Description	記載	0.9804258346557617	False
Description	地理	0.9697775840759277	False
Description	構造	0.9656692147254944	False
Description	概説	0.9279575347900391	False
Discography	ディスコグラフィー	0.9974608421325684	True
Discography	作品	0.9967021346092224	False
Discography	ディスコグラフィ	0.996626615524292	False
Discography	アルバム	0.9868654608726501	False
Discography	主な作品	0.968575656414032	False
Discography	シングル	0.9305968284606934	False
